id,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
1,Santa Clara,27261.0,440.0,186,0,2020-11-12T00:00:00
2,San Mateo,12086.0,165.0,78,0,2020-11-12T00:00:00
3,Santa Barbara,10325.0,131.0,47,0,2020-11-12T00:00:00
4,Tuolumne,353.0,8.0,-1,0,2020-11-12T00:00:00
5,Sierra,11.0,0.0,0,0,2020-11-12T00:00:00
6,Placer,5044.0,62.0,63,2,2020-11-12T00:00:00
7,San Luis Obispo,4898.0,33.0,66,0,2020-11-12T00:00:00
8,Solano,8417.0,79.0,64,0,2020-11-12T00:00:00
9,Monterey,12489.0,103.0,72,0,2020-11-12T00:00:00
10,Yuba,1410.0,10.0,10,0,2020-11-12T00:00:00
11,San Francisco,13289.0,153.0,2,1,2020-11-12T00:00:00
12,Orange,63232.0,1520.0,303,6,2020-11-12T00:00:00
13,Mono,442.0,2.0,-1,0,2020-11-12T00:00:00
14,Calaveras,373.0,21.0,0,0,2020-11-12T00:00:00
15,Alpine,12.0,0.0,0,0,2020-11-12T00:00:00
16,Nevada,780.0,9.0,39,0,2020-11-12T00:00:00
17,Butte,3347.0,56.0,-1,0,2020-11-12T00:00:00
18,Santa Cruz,3317.0,26.0,70,0,2020-11-12T00:00:00
19,Mendocino,1142.0,22.0,0,0,2020-11-12T00:00:00
20,Fresno,33459.0,456.0,172,0,2020-11-12T00:00:00
21,Inyo,255.0,15.0,0,0,2020-11-12T00:00:00
22,San Joaquin,23002.0,500.0,1,0,2020-11-12T00:00:00
23,Ventura,16013.0,171.0,212,0,2020-11-12T00:00:00
24,Trinity,62.0,0.0,0,0,2020-11-12T00:00:00
25,Mariposa,84.0,2.0,0,0,2020-11-12T00:00:00
26,El Dorado,1573.0,4.0,9,0,2020-11-12T00:00:00
27,Sonoma,10602.0,149.0,104,0,2020-11-12T00:00:00
28,Shasta,2825.0,36.0,59,2,2020-11-12T00:00:00
29,Lassen,832.0,1.0,1,0,2020-11-12T00:00:00
30,Colusa,591.0,6.0,0,0,2020-11-12T00:00:00
31,Lake,764.0,17.0,1,0,2020-11-12T00:00:00
32,Modoc,63.0,0.0,1,0,2020-11-12T00:00:00
33,Tulare,18545.0,299.0,45,0,2020-11-12T00:00:00
34,San Benito,1525.0,15.0,13,0,2020-11-12T00:00:00
35,Alameda,25345.0,483.0,205,0,2020-11-12T00:00:00
36,Marin,7268.0,127.0,0,0,2020-11-12T00:00:00
37,San Diego,62336.0,918.0,590,3,2020-11-12T00:00:00
38,Out Of Country,0.0,0.0,0,0,2020-11-12T00:00:00
39,Glenn,727.0,5.0,5,0,2020-11-12T00:00:00
40,Siskiyou,275.0,1.0,14,0,2020-11-12T00:00:00
41,Madera,5273.0,76.0,25,0,2020-11-12T00:00:00
42,Tehama,1117.0,19.0,12,0,2020-11-12T00:00:00
43,Sutter,2075.0,12.0,26,0,2020-11-12T00:00:00
44,Napa,2398.0,17.0,33,0,2020-11-12T00:00:00
45,Los Angeles,327001.0,7221.0,2434,5,2020-11-12T00:00:00
46,Sacramento,29459.0,517.0,491,3,2020-11-12T00:00:00
47,Merced,10107.0,166.0,33,2,2020-11-12T00:00:00
48,Kings,9335.0,87.0,72,0,2020-11-12T00:00:00
49,Kern,35207.0,430.0,193,1,2020-11-12T00:00:00
50,Riverside,73381.0,1355.0,428,3,2020-11-12T00:00:00
51,Unassigned,5.0,0.0,-1,0,2020-11-12T00:00:00
52,Contra Costa,20619.0,252.0,167,-1,2020-11-12T00:00:00
53,Del Norte,203.0,1.0,0,0,2020-11-12T00:00:00
54,San Bernardino,70758.0,1096.0,384,0,2020-11-12T00:00:00
55,Stanislaus,18787.0,410.0,116,0,2020-11-12T00:00:00
56,Humboldt,625.0,10.0,2,0,2020-11-12T00:00:00
57,Plumas,121.0,0.0,10,0,2020-11-12T00:00:00
58,Amador,392.0,16.0,3,0,2020-11-12T00:00:00
59,Imperial,13619.0,343.0,-4,2,2020-11-12T00:00:00
60,Yolo,3646.0,64.0,40,0,2020-11-12T00:00:00